ronda,gas_consumido,tiempo_confirmacion_seg,tiempo_total_ronda_seg,timestamp
1,184560,4.4999518394470215,0.31929945945739746,1772992344.1330037
2,167460,4.784210681915283,0.13061094284057617,1772992444.124667
3,167460,4.777263164520264,0.10467171669006348,1772992549.0799267
4,167460,4.844980716705322,0.100341796875,1772992659.0947258
5,167460,4.847870588302612,0.09589266777038574,1772992764.079322
6,167460,4.788099527359009,0.1771843433380127,1772992874.164101
7,167460,4.770564079284668,0.11165952682495117,1772992989.097356
8,167460,4.758708715438843,0.10968208312988281,1772993099.055582
9,167460,4.8033740520477295,0.13202881813049316,1772993204.0801203
10,167460,4.7935471534729,0.09347271919250488,1772993314.0479212
11,167460,4.890192031860352,0.09488773345947266,1772993439.1062877
12,167460,4.78023362159729,0.11668515205383301,1772993549.0631008
13,167460,4.389333724975586,0.08679056167602539,1772993655.066947
14,167460,4.908012390136719,0.08067870140075684,1772993760.0608356
15,167460,4.8013916015625,0.12986111640930176,1772993860.093838
16,167460,4.756553649902344,0.08965516090393066,1772993965.0381565
17,167460,5.315515518188477,0.05286097526550293,1772994056.4993806
18,167460,4.8970232009887695,0.08988499641418457,1772994156.0778852
19,167460,4.710592746734619,0.12308001518249512,1772994251.055424
20,167460,4.891962051391602,0.0872957706451416,1772994346.0956466
21,167460,4.691922664642334,0.15460848808288574,1772994441.0430715
22,167460,4.890761137008667,0.08876633644104004,1772994541.1293237
23,167460,4.792833566665649,0.09184551239013672,1772994641.0441513
24,167460,4.770972728729248,0.1078653335571289,1772994736.0527146
25,167460,4.782818794250488,0.08579421043395996,1772994836.045613
26,167460,4.864545583724976,0.09324264526367188,1772994936.0746577
27,167460,4.877423286437988,0.08198881149291992,1772995036.098185
28,167460,4.88704514503479,0.09245586395263672,1772995136.1085489
29,167460,4.875688076019287,0.08089852333068848,1772995236.1041288
30,167460,4.869920253753662,0.08209395408630371,1772995336.0998173
