ronda,gas_consumido,tiempo_confirmacion_seg,tiempo_total_ronda_seg,timestamp
1,184560,4.537704706192017,0.3843190670013428,1773595254.3059134
2,167460,4.204291582107544,0.3199601173400879,1773595365.2762709
1,184560,4.44682240486145,0.28778791427612305,1773596232.160993
2,167460,6.766555547714233,0.1667346954345703,1773596355.1852484
3,167460,4.593968868255615,0.20567917823791504,1773596486.153548
4,167460,4.585364103317261,0.20990729331970215,1773596609.2065253
5,167460,6.851095199584961,0.24606800079345703,1773596732.4249566
6,167460,4.719171047210693,0.2509653568267822,1773596848.3302243
7,167460,4.634823322296143,0.256847620010376,1773596969.2331424
1,184560,4.524299383163452,0.30856990814208984,1773598330.181743
2,167460,6.70820426940918,0.3861579895019531,1773598443.5233812
3,167460,6.500910758972168,0.6447529792785645,1773598581.5918405
4,167460,6.318463563919067,0.6479661464691162,1773598719.5506597
