ronda,tiempo_agregacion_seg,timestamp
1,0.022336483001708984,1773332599.2172453
2,0.008038043975830078,1773332691.3157096
3,0.0050737857818603516,1773332783.2421513
4,0.0071430206298828125,1773332877.2297263
5,0.004014492034912109,1773332972.4191418
6,0.006278276443481445,1773333062.3202233
7,0.00464630126953125,1773333156.1866686
8,0.00408625602722168,1773333251.2361271
9,0.005511045455932617,1773333346.971008
10,0.005623817443847656,1773333455.7270617
11,0.004058837890625,1773333546.1304202
12,0.004848957061767578,1773333636.3014061
13,0.003995418548583984,1773333726.416295
14,0.005033969879150391,1773333821.4371445
15,0.003858804702758789,1773333909.4549952
16,0.0038728713989257812,1773334000.1091366
17,0.0041615962982177734,1773334090.7337866
18,0.004790067672729492,1773334181.3266046
19,0.004189491271972656,1773334269.856124
20,0.0038928985595703125,1773334351.545895
21,0.0036957263946533203,1773334433.0402644
22,0.0044329166412353516,1773334513.2431786
23,0.0042018890380859375,1773334593.6136763
24,0.004027843475341797,1773334673.5699477
25,0.004015684127807617,1773334753.153796
26,0.004342079162597656,1773334831.768755
27,0.005246400833129883,1773334912.9743817
28,0.005520343780517578,1773334996.81272
29,0.004132270812988281,1773335077.632453
30,0.003846406936645508,1773335160.004747
