ronda,gas_consumido,tiempo_confirmacion_seg,tiempo_total_ronda_seg,timestamp
1,184560,13.708028316497803,0.17513275146484375,1773934057.4934063
2,167460,1.6308560371398926,0.10415029525756836,1773934164.1007223
3,167460,5.890784978866577,0.09304022789001465,1773934280.3782797
4,167460,9.844594955444336,0.14195990562438965,1773934406.4153807
5,167460,1.879492998123169,0.2725999355316162,1773934537.0920672
6,167460,10.682393074035645,0.24500131607055664,1773934696.446763
7,167460,0.7659001350402832,0.09827661514282227,1773934837.150236
8,167460,3.3151679039001465,0.08735036849975586,1773934931.0712602
9,167460,3.737867593765259,0.11438131332397461,1773935016.131357
10,167460,3.2932169437408447,0.09851455688476562,1773935100.06799
11,167460,3.3487212657928467,0.09892034530639648,1773935183.5569067
12,167460,3.510080099105835,0.0894320011138916,1773935268.0677419
13,167460,3.4036152362823486,0.08492398262023926,1773935355.1073935
14,167460,13.579922199249268,0.09326577186584473,1773935447.4311833
15,167460,12.803605556488037,0.10994529724121094,1773935539.1983235
16,167460,3.516432762145996,0.10447168350219727,1773935622.067811
17,167460,3.515329122543335,0.11486148834228516,1773935704.0707576
18,167460,3.2040340900421143,0.09463810920715332,1773935796.0828865
19,167460,3.3344366550445557,0.13468408584594727,1773935888.150253
20,167460,12.878748416900635,0.10492753982543945,1773935980.241796
21,167460,12.789308786392212,0.10982656478881836,1773936072.3417737
22,167460,13.497332572937012,0.14153838157653809,1773936169.1946878
23,167460,12.870326042175293,0.09325790405273438,1773936261.1290998
24,167460,3.400026321411133,0.10086321830749512,1773936344.1118338
25,167460,3.6134262084960938,0.09684443473815918,1773936426.1019938
26,167460,3.190294027328491,0.09308099746704102,1773936518.0809808
27,167460,3.7281317710876465,0.09357810020446777,1773936600.1346517
28,167460,3.6257529258728027,0.10707664489746094,1773936682.1145954
29,167460,13.265223026275635,0.08428621292114258,1773936774.1255727
30,167460,4.246626377105713,0.10024166107177734,1773936871.1147778
