ronda,gas_real,tiempo_confirmacion,tiempo_total_con_commit,timestamp
1,160224,0.5571093559265137,86.73129487037659,1772992339.2025082
2,160224,0.13144898414611816,88.37812423706055,1772992439.1125038
3,160224,2.909963369369507,93.99258995056152,1772992544.0775988
4,160224,4.239122629165649,97.4311957359314,1772992654.1148574
5,160224,0.8800654411315918,93.99378108978271,1772992759.1030111
6,160224,3.354590654373169,97.83872389793396,1772992869.11519
7,160224,2.5892131328582764,102.03665471076965,1772992984.1550014
8,160224,1.5239298343658447,97.59753894805908,1772993094.078866
9,160224,1.4827547073364258,93.38786792755127,1772993199.0746853
10,160224,1.1825501918792725,97.5057601928711,1772993309.1316018
11,160224,2.6578099727630615,113.95827269554138,1772993434.0910733
12,160224,2.849342107772827,98.19321274757385,1772993544.1354697
13,160224,1.7074837684631348,94.39655256271362,1772993650.5575044
14,160224,3.6846468448638916,94.29441738128662,1772993755.0431426
15,160224,2.001424551010132,89.12147355079651,1772993855.0710864
16,160224,1.6091580390930176,94.044748544693,1772993960.0575366
17,160224,2.9526255130767822,80.62379169464111,1772994051.0971286
18,160224,1.4771368503570557,87.87516331672668,1772994151.0469995
19,160224,1.0603158473968506,84.58307242393494,1772994246.0658233
20,160224,1.1601574420928955,84.31336307525635,1772994341.067699
21,160224,0.4489574432373047,84.49287939071655,1772994436.131646
22,160224,3.972712516784668,88.93821454048157,1772994536.1180842
23,160224,3.3511998653411865,89.45442295074463,1772994636.0722446
24,160224,1.1676557064056396,84.48550796508789,1772994731.059513
25,160224,2.932689666748047,88.86193871498108,1772994831.0825007
26,160224,1.496628761291504,88.93949222564697,1772994931.0874686
27,160224,3.975131034851074,89.57358074188232,1772995031.1107452
28,160224,3.757110834121704,89.26649332046509,1772995131.0942845
29,160224,2.426609992980957,89.40237641334534,1772995231.1194289
30,160224,0.11543726921081543,84.32289624214172,1772995326.0903785
