ronda,tiempo_total_local,timestamp
1,96.25641012191772,1773332598.9161022
2,84.50506567955017,1773332690.7417154
3,84.52719569206238,1773332782.3180137
4,86.12429308891296,1773332875.8499982
5,86.33715462684631,1773332971.784674
6,82.25080680847168,1773333061.539492
7,85.7289719581604,1773333155.2525146
8,88.69459009170532,1773333250.6155596
9,88.74689793586731,1773333346.1780035
10,99.61357045173645,1773333454.994085
11,83.74284434318542,1773333545.507959
12,84.1270227432251,1773333635.950535
13,83.92117071151733,1773333725.7413359
14,87.9947156906128,1773333820.0972877
15,81.00387024879456,1773333908.5084555
16,84.0373363494873,1773333999.3590207
17,84.25516963005066,1773334090.1960623
18,84.26947140693665,1773334180.9007986
19,81.88037252426147,1773334269.218768
20,74.77814269065857,1773334350.6434655
21,74.48894381523132,1773334432.2615669
22,73.99673557281494,1773334512.5630484
23,73.52339482307434,1773334593.1294694
24,73.16050720214844,1773334672.4765916
25,73.93232202529907,1773334753.1417408
26,72.17765831947327,1773334831.1050746
27,73.92241621017456,1773334911.1899428
28,76.21717357635498,1773334996.44393
29,73.98445987701416,1773335076.3049765
30,76.54131364822388,1773335159.7535112
