ronda,gas_real,tiempo_confirmacion,tiempo_total_con_commit,timestamp
1,160224,4.524190187454224,105.2446973323822,1773596227.288247
2,160224,2.7771060466766357,107.62148690223694,1773596348.1908739
3,160224,3.0000598430633545,119.43142771720886,1773596481.2725701
4,160224,1.220318078994751,108.39509344100952,1773596604.291568
5,160224,3.1108431816101074,109.27833199501038,1773596725.2551792
6,160224,2.452336549758911,103.5359935760498,1773596843.2385697
7,160224,1.1049168109893799,107.78251719474792,1773596964.188488
