ronda,gas_real,tiempo_confirmacion,tiempo_total_con_commit,timestamp
1,160224,4.320483922958374,105.32172536849976,1773596227.357683
2,160224,2.461587905883789,107.60678219795227,1773596348.1791735
3,160224,2.897310256958008,119.42828965187073,1773596481.2726278
4,160224,0.6869766712188721,108.44946312904358,1773596604.3416088
5,160224,2.9698004722595215,109.24277377128601,1773596725.227599
6,160224,1.889686107635498,103.53626537322998,1773596843.2385683
7,160224,1.104020595550537,107.78248333930969,1773596964.188289
