ronda,gas_real,tiempo_confirmacion,tiempo_total_con_commit,timestamp
1,160224,7.311338186264038,77.24067234992981,1773938173.7579372
2,160224,3.8593854904174805,69.94555926322937,1773938255.8509002
3,160224,2.6502771377563477,69.85662508010864,1773938347.80703
4,160224,2.1353776454925537,69.05255961418152,1773938439.7533627
5,160224,0.41866564750671387,69.29961085319519,1773938522.2726483
6,160224,5.967450141906738,74.7909996509552,1773938614.3167284
7,160224,2.8368141651153564,68.68402099609375,1773938696.622115
8,160224,2.9737915992736816,69.63959980010986,1773938788.6254463
9,160224,3.5936472415924072,69.1127758026123,1773938880.5880375
10,160224,2.306126594543457,69.00335931777954,1773938963.2300496
11,160224,13.379239082336426,80.05916357040405,1773939055.2416997
12,160224,3.5651705265045166,69.87399792671204,1773939137.6793246
13,160224,2.002542018890381,74.45562291145325,1773939234.6384215
14,160224,1.881098985671997,68.44055032730103,1773939326.5958643
15,160224,2.7127912044525146,69.44173383712769,1773939418.5088933
16,160224,4.438663721084595,69.89711594581604,1773939501.1845467
17,160224,13.64331841468811,79.32857584953308,1773939593.111625
18,160224,2.186436653137207,68.47416687011719,1773939675.4747329
19,160224,3.1456706523895264,69.32417678833008,1773939767.5033002
20,160224,2.396911859512329,68.77525973320007,1773939859.6516447
21,160224,3.8137621879577637,72.90901279449463,1773939956.4955287
22,160224,13.53904390335083,81.73112225532532,1773940063.1268177
23,160224,14.130863428115845,82.93886923789978,1773940160.044307
24,160224,11.483641624450684,78.41661620140076,1773940252.1475427
25,160224,9.894840002059937,79.0539321899414,1773940344.2128463
26,160224,1.2344639301300049,69.06300735473633,1773940426.5245035
27,160224,11.555823564529419,79.25359082221985,1773940533.1984942
28,160224,1.5591256618499756,68.99229454994202,1773940615.4617023
29,160224,11.296255350112915,77.70617604255676,1773940722.132122
30,160224,1.9854974746704102,70.11920166015625,1773940804.490287
