ronda,gas_real,tiempo_confirmacion,tiempo_total_con_commit,timestamp
1,160224,14.574385166168213,102.95751023292542,1773934028.4618545
2,160224,3.948392629623413,85.63430285453796,1773934154.3178515
3,160224,0.9321012496948242,81.76475071907043,1773934255.7885094
4,160224,2.167959213256836,94.67626166343689,1773934386.7413123
5,160224,4.8316590785980225,88.34207057952881,1773934513.2281191
6,160224,4.185919284820557,96.60698461532593,1773934647.9253008
7,160224,3.8958263397216797,121.19589018821716,1773934831.6078327
8,160224,4.47490668296814,71.64994168281555,1773934925.7101407
9,160224,3.072669267654419,71.58659362792969,1773935010.7339227
10,160224,3.9298722743988037,70.31151938438416,1773935094.8334067
11,160224,3.42376971244812,70.3376111984253,1773935178.8492317
12,160224,3.91397762298584,70.97206616401672,1773935262.8532717
13,160224,7.564318656921387,73.66423177719116,1773935350.3514955
14,160224,3.2570676803588867,69.78532576560974,1773935432.6647136
15,160224,2.4945857524871826,68.60376739501953,1773935524.4235253
16,160224,2.5004401206970215,67.57897329330444,1773935616.6160872
17,160224,0.639301061630249,66.95974731445312,1773935699.100325
18,160224,12.890624523162842,79.22235798835754,1773935791.2316787
19,160224,12.990540981292725,79.00127077102661,1773935883.1876245
20,160224,4.104430198669434,69.24309492111206,1773935965.485587
21,160224,2.4861197471618652,69.43904423713684,1773936057.552625
22,160224,4.968211650848389,72.77034497261047,1773936154.4775572
23,160224,1.2586424350738525,68.1635468006134,1773936246.446607
24,160224,1.6775577068328857,67.44896578788757,1773936338.6037316
25,160224,1.6776130199432373,68.55654239654541,1773936421.0873523
26,160224,14.588649034500122,80.4692554473877,1773936513.1180818
27,160224,1.8796963691711426,69.26390385627747,1773936594.6424243
28,160224,1.7712452411651611,69.45009636878967,1773936677.1463475
29,160224,2.591719388961792,69.81867218017578,1773936759.4539108
30,160224,1.1599879264831543,68.73977851867676,1773936851.4261682
