ronda,tiempo_total_local,timestamp
1,63.60746455192566,1773941912.132041
2,62.97287201881409,1773941985.3457
3,62.98004484176636,1773942058.2961583
4,63.15397381782532,1773942132.578235
5,64.18024444580078,1773942207.3026843
6,63.60426878929138,1773942280.9802816
7,64.65755033493042,1773942355.9583502
8,64.33221530914307,1773942429.3558314
9,63.498943567276,1773942503.3562396
10,63.172606229782104,1773942577.7103221
11,63.84460234642029,1773942653.7801096
12,64.81632733345032,1773942728.995891
13,64.26261377334595,1773942804.2518368
14,63.59940218925476,1773942880.2323663
15,63.85742545127869,1773942953.7598095
16,63.63763213157654,1773943026.8740716
17,65.5235984325409,1773943102.7970967
18,65.02104187011719,1773943177.242522
19,63.602564096450806,1773943251.0982122
20,64.46365857124329,1773943325.6752653
21,64.64700675010681,1773943400.0562747
22,64.45641255378723,1773943474.8570607
23,64.25582766532898,1773943549.8287902
24,64.58223295211792,1773943624.197366
25,65.70285296440125,1773943699.3813205
26,65.61213636398315,1773943774.6449027
27,65.11676907539368,1773943849.2437942
28,65.14514017105103,1773943924.9936774
29,64.4984393119812,1773943999.85906
30,64.50986742973328,1773944075.0454912
