ronda,tiempo_total_local,timestamp
1,63.94849991798401,1773941912.4291668
2,63.09184741973877,1773941985.5085747
3,63.061318159103394,1773942058.426516
4,63.13191056251526,1773942132.6296248
5,64.24141550064087,1773942207.3658626
6,63.68997049331665,1773942281.0512211
7,64.92701482772827,1773942356.301585
8,64.68490743637085,1773942429.7284927
9,63.912511587142944,1773942503.7730396
10,63.70429611206055,1773942578.3876078
11,64.11471223831177,1773942654.0665264
12,65.01683592796326,1773942729.1963997
13,64.2336893081665,1773942804.2299757
14,63.59234380722046,1773942880.2774625
15,63.95602107048035,1773942953.893351
16,63.42782211303711,1773943026.6824331
17,65.48017048835754,1773943102.7694957
18,65.1485207080841,1773943177.4237962
19,63.4920916557312,1773943250.9742963
20,64.0714635848999,1773943325.3403008
21,64.52853441238403,1773943399.9554796
22,64.5707483291626,1773943474.9871316
23,64.18108367919922,1773943549.721021
24,64.42565536499023,1773943624.0727835
25,65.65342688560486,1773943699.3316247
26,65.38172554969788,1773943774.4345012
27,64.99600958824158,1773943849.1323445
28,65.081707239151,1773943924.95807
29,64.21316480636597,1773943999.6032474
30,64.64550018310547,1773944075.194169
